Index,Model,Percentile,Region,Scenario,TimeAggregate,Year
2,2,10,5,rcp45,DJF,2100
2,2,5,5,rcp45,DJF,1989
2,2,5,5,rcp45,DJF,2012
2,2,5,5,rcp45,DJF,2015
2,2,5,5,rcp45,DJF,2022
2,2,5,5,rcp45,DJF,2032
2,2,5,5,rcp45,DJF,2033
2,2,5,5,rcp45,DJF,2035
2,2,5,5,rcp45,DJF,2038
2,2,5,5,rcp45,DJF,2042
2,2,5,5,rcp45,DJF,2043
2,2,5,5,rcp45,DJF,2046
2,2,5,5,rcp45,DJF,2048
2,2,5,5,rcp45,DJF,2054
2,2,5,5,rcp45,DJF,2055
2,2,5,5,rcp45,DJF,2056
2,2,5,5,rcp45,DJF,2058
2,2,5,5,rcp45,DJF,2059
2,2,5,5,rcp45,DJF,2062
2,2,5,5,rcp45,DJF,2063
2,2,5,5,rcp45,DJF,2065
2,2,5,5,rcp45,DJF,2066
2,2,5,5,rcp45,DJF,2067
2,2,5,5,rcp45,DJF,2071
2,2,5,5,rcp45,DJF,2072
2,2,5,5,rcp45,DJF,2074
2,2,5,5,rcp45,DJF,2075
2,2,5,5,rcp45,DJF,2077
2,2,5,5,rcp45,DJF,2079
2,2,5,5,rcp45,DJF,2080
2,2,5,5,rcp45,DJF,2081
2,2,5,5,rcp45,DJF,2084
2,2,5,5,rcp45,DJF,2085
2,2,5,5,rcp45,DJF,2086
2,2,5,5,rcp45,DJF,2087
2,2,5,5,rcp45,DJF,2088
2,2,5,5,rcp45,DJF,2089
2,3,90,5,rcp45,DJF,1973
2,3,90,5,rcp45,DJF,1978
2,3,90,5,rcp45,DJF,1987
2,3,90,5,rcp45,DJF,1992
2,3,90,5,rcp45,DJF,2004
2,3,90,5,rcp45,DJF,2046
2,3,95,5,rcp45,DJF,1973
2,3,95,5,rcp45,DJF,1978
2,3,95,5,rcp45,DJF,1987
2,3,95,5,rcp45,DJF,1992
2,3,95,5,rcp45,DJF,2004
2,3,95,5,rcp45,DJF,2046
2,3,10,5,rcp45,DJF,1981
2,3,10,5,rcp45,DJF,1994
2,3,10,5,rcp45,DJF,1995
2,3,10,5,rcp45,DJF,1998
2,3,10,5,rcp45,DJF,2005
2,3,10,5,rcp45,DJF,2011
2,3,10,5,rcp45,DJF,2014
2,3,10,5,rcp45,DJF,2020
2,3,10,5,rcp45,DJF,2021
2,3,10,5,rcp45,DJF,2022
2,3,10,5,rcp45,DJF,2023
2,3,10,5,rcp45,DJF,2025
2,3,10,5,rcp45,DJF,2031
2,3,10,5,rcp45,DJF,2032
2,3,10,5,rcp45,DJF,2034
2,3,10,5,rcp45,DJF,2035
2,3,10,5,rcp45,DJF,2036
2,3,10,5,rcp45,DJF,2038
2,3,10,5,rcp45,DJF,2039
2,3,10,5,rcp45,DJF,2041
2,3,10,5,rcp45,DJF,2050
2,3,10,5,rcp45,DJF,2051
2,3,10,5,rcp45,DJF,2052
2,3,10,5,rcp45,DJF,2053
2,3,10,5,rcp45,DJF,2054
2,3,10,5,rcp45,DJF,2056
2,3,10,5,rcp45,DJF,2060
2,3,10,5,rcp45,DJF,2063
2,3,10,5,rcp45,DJF,2066
2,3,10,5,rcp45,DJF,2067
2,3,10,5,rcp45,DJF,2068
2,3,10,5,rcp45,DJF,2069
2,3,10,5,rcp45,DJF,2071
2,3,10,5,rcp45,DJF,2073
2,3,10,5,rcp45,DJF,2074
2,3,10,5,rcp45,DJF,2079
2,3,10,5,rcp45,DJF,2080
2,3,10,5,rcp45,DJF,2081
2,3,10,5,rcp45,DJF,2083
2,3,10,5,rcp45,DJF,2084
2,3,10,5,rcp45,DJF,2085
2,3,10,5,rcp45,DJF,2086
2,3,10,5,rcp45,DJF,2087
2,3,10,5,rcp45,DJF,2088
2,3,10,5,rcp45,DJF,2090
2,3,10,5,rcp45,DJF,2091
2,3,10,5,rcp45,DJF,2092
2,3,10,5,rcp45,DJF,2093
2,3,10,5,rcp45,DJF,2095
2,3,10,5,rcp45,DJF,2097
2,3,10,5,rcp45,DJF,2098
2,3,10,5,rcp45,DJF,2099
2,3,10,5,rcp45,DJF,2100
2,3,5,5,rcp45,DJF,1981
2,3,5,5,rcp45,DJF,1994
2,3,5,5,rcp45,DJF,1995
2,3,5,5,rcp45,DJF,2023
2,3,5,5,rcp45,DJF,2036
2,3,5,5,rcp45,DJF,2039
2,3,5,5,rcp45,DJF,2041
2,3,5,5,rcp45,DJF,2050
2,3,5,5,rcp45,DJF,2053
2,3,5,5,rcp45,DJF,2054
2,3,5,5,rcp45,DJF,2060
2,3,5,5,rcp45,DJF,2066
2,3,5,5,rcp45,DJF,2068
2,3,5,5,rcp45,DJF,2069
2,3,5,5,rcp45,DJF,2071
2,3,5,5,rcp45,DJF,2073
2,3,5,5,rcp45,DJF,2079
2,3,5,5,rcp45,DJF,2080
2,3,5,5,rcp45,DJF,2081
2,3,5,5,rcp45,DJF,2086
2,3,5,5,rcp45,DJF,2087
2,3,5,5,rcp45,DJF,2088
2,3,5,5,rcp45,DJF,2090
2,3,5,5,rcp45,DJF,2091
2,3,5,5,rcp45,DJF,2092
2,3,5,5,rcp45,DJF,2093
2,3,5,5,rcp45,DJF,2097
2,3,5,5,rcp45,DJF,2099
2,3,5,5,rcp45,DJF,2100
2,4,90,5,rcp45,DJF,1972
2,4,90,5,rcp45,DJF,1976
2,4,90,5,rcp45,DJF,1979
2,4,90,5,rcp45,DJF,1986
2,4,90,5,rcp45,DJF,1997
2,4,95,5,rcp45,DJF,1976
2,4,95,5,rcp45,DJF,1979
2,4,95,5,rcp45,DJF,1986
2,4,95,5,rcp45,DJF,1997
2,4,10,5,rcp45,DJF,1973
2,4,10,5,rcp45,DJF,1974
2,4,10,5,rcp45,DJF,1981
2,4,10,5,rcp45,DJF,1982
2,4,10,5,rcp45,DJF,1984
2,4,10,5,rcp45,DJF,1991
2,4,10,5,rcp45,DJF,1992
2,4,10,5,rcp45,DJF,2000
2,4,10,5,rcp45,DJF,2004
2,4,10,5,rcp45,DJF,2009
2,4,10,5,rcp45,DJF,2010
2,4,10,5,rcp45,DJF,2014
2,4,10,5,rcp45,DJF,2016
2,4,10,5,rcp45,DJF,2018
2,4,10,5,rcp45,DJF,2021
2,4,10,5,rcp45,DJF,2023
2,4,10,5,rcp45,DJF,2027
2,4,10,5,rcp45,DJF,2029
2,4,10,5,rcp45,DJF,2031
2,4,10,5,rcp45,DJF,2032
2,4,10,5,rcp45,DJF,2034
2,4,10,5,rcp45,DJF,2037
2,4,10,5,rcp45,DJF,2039
2,4,10,5,rcp45,DJF,2040
2,4,10,5,rcp45,DJF,2041
2,4,10,5,rcp45,DJF,2043
2,4,10,5,rcp45,DJF,2044
2,4,10,5,rcp45,DJF,2050
2,4,10,5,rcp45,DJF,2053
2,4,10,5,rcp45,DJF,2056
2,4,10,5,rcp45,DJF,2059
2,4,10,5,rcp45,DJF,2061
2,4,10,5,rcp45,DJF,2062
2,4,10,5,rcp45,DJF,2063
2,4,10,5,rcp45,DJF,2065
2,4,10,5,rcp45,DJF,2068
2,4,10,5,rcp45,DJF,2070
2,4,10,5,rcp45,DJF,2071
2,4,10,5,rcp45,DJF,2073
2,4,10,5,rcp45,DJF,2075
2,4,10,5,rcp45,DJF,2078
2,4,10,5,rcp45,DJF,2079
2,4,10,5,rcp45,DJF,2080
2,4,10,5,rcp45,DJF,2081
2,4,10,5,rcp45,DJF,2082
2,4,10,5,rcp45,DJF,2083
2,4,10,5,rcp45,DJF,2086
2,4,10,5,rcp45,DJF,2087
2,4,10,5,rcp45,DJF,2088
2,4,10,5,rcp45,DJF,2089
2,4,10,5,rcp45,DJF,2090
2,4,10,5,rcp45,DJF,2091
2,4,10,5,rcp45,DJF,2092
2,4,10,5,rcp45,DJF,2093
2,4,10,5,rcp45,DJF,2094
2,4,10,5,rcp45,DJF,2095
2,4,10,5,rcp45,DJF,2096
2,4,10,5,rcp45,DJF,2097
2,4,10,5,rcp45,DJF,2098
2,4,10,5,rcp45,DJF,2099
2,4,5,5,rcp45,DJF,1982
2,4,5,5,rcp45,DJF,1984
2,4,5,5,rcp45,DJF,2004
2,4,5,5,rcp45,DJF,2009
2,4,5,5,rcp45,DJF,2010
2,4,5,5,rcp45,DJF,2014
2,4,5,5,rcp45,DJF,2018
2,4,5,5,rcp45,DJF,2023
2,4,5,5,rcp45,DJF,2029
2,4,5,5,rcp45,DJF,2031
2,4,5,5,rcp45,DJF,2037
2,4,5,5,rcp45,DJF,2039
2,4,5,5,rcp45,DJF,2041
2,4,5,5,rcp45,DJF,2043
2,4,5,5,rcp45,DJF,2044
2,4,5,5,rcp45,DJF,2050
2,4,5,5,rcp45,DJF,2053
2,4,5,5,rcp45,DJF,2056
2,4,5,5,rcp45,DJF,2061
2,4,5,5,rcp45,DJF,2062
2,4,5,5,rcp45,DJF,2063
2,4,5,5,rcp45,DJF,2065
2,4,5,5,rcp45,DJF,2068
2,4,5,5,rcp45,DJF,2071
2,4,5,5,rcp45,DJF,2078
2,4,5,5,rcp45,DJF,2079
2,4,5,5,rcp45,DJF,2080
