Index,Model,Percentile,Region,Scenario,Season,Value,Year
10,2,10,14,rcp45,DJF,-1.77564125061,2090
10,2,10,14,rcp45,DJF,-3.09829072952,2091
10,2,10,14,rcp45,DJF,-0.431624221802,2096
10,3,90,14,rcp45,DJF,9.8316242218,1987
10,3,90,14,rcp45,DJF,1.01324768066,1998
10,3,90,14,rcp45,DJF,3.45341796875,2004
10,3,90,14,rcp45,DJF,1.59230728149,2008
10,3,90,14,rcp45,DJF,1.85940093994,2033
10,3,10,14,rcp45,DJF,-0.183760452271,1972
10,3,10,14,rcp45,DJF,-0.425213623047,1980
10,3,10,14,rcp45,DJF,-4.1346157074,1981
10,3,10,14,rcp45,DJF,-2.15170936584,1982
10,3,10,14,rcp45,DJF,-1.69017105103,1993
10,3,10,14,rcp45,DJF,-2.30128221512,1994
10,3,10,14,rcp45,DJF,-2.8632481575,1995
10,3,10,14,rcp45,DJF,-1.92521362305,2002
10,3,10,14,rcp45,DJF,-0.0683763504028,2009
10,3,10,14,rcp45,DJF,-2.8397439003,2011
10,3,10,14,rcp45,DJF,-1.84401731491,2014
10,3,10,14,rcp45,DJF,-2.53205137253,2020
10,3,10,14,rcp45,DJF,-1.71581201553,2021
10,3,10,14,rcp45,DJF,-3.69230775833,2022
10,3,10,14,rcp45,DJF,-1.99145298004,2023
10,3,10,14,rcp45,DJF,-0.891025352478,2025
10,3,10,14,rcp45,DJF,-5.24358992577,2034
10,3,10,14,rcp45,DJF,-1.78632478714,2036
10,3,10,14,rcp45,DJF,-0.717948722839,2038
10,3,10,14,rcp45,DJF,-2.80341892242,2039
10,3,10,14,rcp45,DJF,-2.2735045433,2048
10,3,10,14,rcp45,DJF,-0.0619657516479,2052
10,3,10,14,rcp45,DJF,-0.846154022217,2053
10,3,10,14,rcp45,DJF,-0.863247680664,2054
10,3,10,14,rcp45,DJF,-0.384615707397,2056
10,3,10,14,rcp45,DJF,-0.130342292786,2059
10,3,10,14,rcp45,DJF,-1.49572687149,2061
10,3,10,14,rcp45,DJF,-1.25641040802,2066
10,3,10,14,rcp45,DJF,-4.24358968735,2068
10,3,10,14,rcp45,DJF,-4.72008543015,2073
10,3,10,14,rcp45,DJF,-1.54273538589,2074
10,3,10,14,rcp45,DJF,-5.41025667191,2079
10,3,10,14,rcp45,DJF,-0.807692337036,2080
10,3,10,14,rcp45,DJF,-3.05341892242,2081
10,3,10,14,rcp45,DJF,-1.7500002861,2082
10,3,10,14,rcp45,DJF,-0.910256195068,2086
10,3,10,14,rcp45,DJF,-1.61965827942,2088
10,3,10,14,rcp45,DJF,-0.720085906982,2091
10,3,10,14,rcp45,DJF,-0.136751937866,2092
10,3,10,14,rcp45,DJF,-3.0662396431,2093
10,3,10,14,rcp45,DJF,-0.337607192993,2094
10,3,10,14,rcp45,DJF,-0.717948722839,2098
10,3,10,14,rcp45,DJF,-3.47222261429,2099
10,3,10,14,rcp45,DJF,-2.20726518631,2100
10,4,10,14,rcp45,DJF,-1.66239337921,1973
10,4,10,14,rcp45,DJF,-0.920940208435,1983
